Date,inflow,total release,evaporation,bank storage,storage,unregulated inflow,pool elevation,power release,area
7/1/2022,14016.2658,11772.6083,900.43012,4568500.58,6435107.23,16529.6732,3539.78,11772.6083,62934.7
7/2/2022,11213.5121,9388.515,900.745381,4568701.99,6437624.9,16276.4958,3539.82,9388.515,62949.66
7/3/2022,10491.4286,9351.665,900.903246,4568802.72,6438883.96,14684.3844,3539.84,9351.665,62957.15
7/4/2022,8128.65612,9388.3925,900.508935,4568550.93,6435736.59,11013.8233,3539.79,9388.3925,62938.44
7/5/2022,9250.58024,11880.375,899.799363,4568097.9,6430073.7,12963.3257,3539.7,11880.375,62904.77
7/6/2022,9886.3496,11830.0642,899.247188,4567745.71,6425671.34,13369.0584,3539.63,11830.0642,62878.57
7/7/2022,8925.91629,11895.6104,898.458801,4567242.84,6419385.45,12351.8584,3539.53,11895.6104,62841.16
7/8/2022,9246.31112,11872.3533,897.749229,4566790.51,6413731.35,11996.628,3539.44,11872.3533,62807.49
7/9/2022,11221.0748,9400.21167,898.064491,4566991.51,6416243.91,14043.0569,3539.48,9400.21167,62822.45
7/10/2022,8818.2252,9391.66958,897.828044,4566840.75,6414359.43,11107.2475,3539.45,9391.66958,62811.23
7/11/2022,6602.06545,11961.1646,896.487482,4565986.97,6403687.11,9141.99497,3539.28,11961.1646,62747.62
7/12/2022,7495.23885,11825,895.3836,4565284.5,6394906.24,8406.91149,3539.14,11825,62695.24
7/13/2022,5112.23332,11826,893.743194,4564231.88,6381748.55,5718.38047,3538.93,11826,62617.33
7/14/2022,8777.72631,11736.0221,892.976298,4563731.09,6375488.67,8905.76197,3538.83,11736.0221,62580.84
7/15/2022,3151.73906,11895.5363,890.905982,4562380.43,6358605.36,2904.24438,3538.56,11895.5363,62482.33
7/16/2022,6075.78408,9368.15667,890.062607,4561830.77,6351734.63,6804.35926,3538.45,9368.15667,62442.2
7/17/2022,5777.52383,9407.71083,889.142285,4561231.55,6344244.34,4625.72626,3538.33,9407.71083,62398.41
7/18/2022,4095.77185,11796.7954,887.302109,4560034.36,6329279.47,3033.69875,3538.09,11796.7954,62310.85
7/19/2022,4406.71808,11758.4638,885.547522,4558888.62,6314957.69,3328.76461,3537.86,11758.4638,62227.32
